Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency
NVDA,NVIDIA CORP,Information Technology,Equity,"1,066,994,615.04",6.39,"1,066,994,615.04","6,215,744.00",171.66,United States,NASDAQ,USD
MSFT,MICROSOFT CORP,Information Technology,Equity,"1,000,536,825.69",5.99,"1,000,536,825.69","1,969,677.00",507.97,United States,NASDAQ,USD
AAPL,APPLE INC,Information Technology,Equity,"938,729,828.14",5.62,"938,729,828.14","3,914,963.00",239.78,United States,NASDAQ,USD
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"600,426,381.12",3.6,"600,426,381.12","2,547,634.00",235.68,United States,NASDAQ,USD
META,META PLATFORMS INC CLASS A,Communication,Equity,"434,118,178.20",2.6,"434,118,178.20","579,868.00",748.65,United States,NASDAQ,USD
AVGO,BROADCOM INC,Information Technology,Equity,"375,444,812.30",2.25,"375,444,812.30","1,226,543.00",306.1,United States,NASDAQ,USD
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"358,619,861.70",2.15,"358,619,861.70","1,543,779.00",232.3,United States,NASDAQ,USD
GOOG,ALPHABET INC CLASS C,Communication,Equity,"292,455,946.60",1.75,"292,455,946.60","1,257,010.00",232.66,United States,NASDAQ,USD
TSLA,TESLA INC,Consumer Discretionary,Equity,"252,785,428.95",1.51,"252,785,428.95","746,715.00",338.53,United States,NASDAQ,USD
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"248,385,393.09",1.49,"248,385,393.09","489,999.00",506.91,United States,New York Stock Exchange Inc.,USD
JPM,JPMORGAN CHASE & CO,Financials,Equity,"224,045,374.96",1.34,"224,045,374.96","737,428.00",303.82,United States,New York Stock Exchange Inc.,USD
V,VISA INC CLASS A,Financials,Equity,"158,872,113.60",0.95,"158,872,113.60","452,640.00",350.99,United States,New York Stock Exchange Inc.,USD
LLY,ELI LILLY,Health Care,Equity,"158,065,246.15",0.95,"158,065,246.15","212,765.00",742.91,United States,New York Stock Exchange Inc.,USD
NFLX,NETFLIX INC,Communication,Equity,"141,554,523.60",0.85,"141,554,523.60","112,570.00","1,257.48",United States,NASDAQ,USD
XOM,EXXON MOBIL CORP,Energy,Equity,"129,381,616.80",0.78,"129,381,616.80","1,151,082.00",112.4,United States,New York Stock Exchange Inc.,USD
MA,MASTERCARD INC CLASS A,Financials,Equity,"128,720,782.20",0.77,"128,720,782.20","216,105.00",595.64,United States,New York Stock Exchange Inc.,USD
WMT,WALMART INC,Consumer Staples,Equity,"116,648,636.34",0.7,"116,648,636.34","1,155,738.00",100.93,United States,New York Stock Exchange Inc.,USD
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"114,141,298.92",0.68,"114,141,298.92","638,517.00",178.76,United States,New York Stock Exchange Inc.,USD
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"112,735,022.40",0.68,"112,735,022.40","117,936.00",955.9,United States,NASDAQ,USD
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"108,762,734.34",0.65,"108,762,734.34","264,186.00",411.69,United States,New York Stock Exchange Inc.,USD
ABBV,ABBVIE INC,Health Care,Equity,"100,149,831.00",0.6,"100,149,831.00","470,187.00",213,United States,New York Stock Exchange Inc.,USD
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"99,225,037.28",0.59,"99,225,037.28","623,312.00",159.19,United States,New York Stock Exchange Inc.,USD
ORCL,ORACLE CORP,Information Technology,Equity,"98,128,697.00",0.59,"98,128,697.00","440,039.00",223,United States,New York Stock Exchange Inc.,USD
BAC,BANK OF AMERICA CORP,Financials,Equity,"92,314,580.36",0.55,"92,314,580.36","1,823,678.00",50.62,United States,New York Stock Exchange Inc.,USD
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"90,519,979.04",0.54,"90,519,979.04","579,736.00",156.14,United States,NASDAQ,USD
CVX,CHEVRON CORP,Energy,Equity,"80,394,935.01",0.48,"80,394,935.01","509,829.00",157.69,United States,New York Stock Exchange Inc.,USD
GE,GE AEROSPACE,Industrials,Equity,"78,809,784.00",0.47,"78,809,784.00","279,200.00",282.27,United States,New York Stock Exchange Inc.,USD
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"75,002,706.24",0.45,"75,002,706.24","241,648.00",310.38,United States,New York Stock Exchange Inc.,USD
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"71,849,656.32",0.43,"71,849,656.32","1,056,768.00",67.99,United States,NASDAQ,USD
WFC,WELLS FARGO,Financials,Equity,"70,810,035.73",0.42,"70,810,035.73","865,331.00",81.83,United States,New York Stock Exchange Inc.,USD
KO,COCA-COLA,Consumer Staples,Equity,"70,447,172.25",0.42,"70,447,172.25","1,032,193.00",68.25,United States,New York Stock Exchange Inc.,USD
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"69,193,052.88",0.41,"69,193,052.88","427,672.00",161.79,United States,NASDAQ,USD
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"66,608,451.80",0.4,"66,608,451.80","413,332.00",161.15,United States,New York Stock Exchange Inc.,USD
ABT,ABBOTT LABORATORIES,Health Care,Equity,"61,097,912.40",0.37,"61,097,912.40","460,040.00",132.81,United States,New York Stock Exchange Inc.,USD
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"61,095,727.78",0.37,"61,095,727.78","247,171.00",247.18,United States,New York Stock Exchange Inc.,USD
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"60,575,525.40",0.36,"60,575,525.40","80,886.00",748.9,United States,New York Stock Exchange Inc.,USD
CRM,SALESFORCE INC,Information Technology,Equity,"60,528,876.59",0.36,"60,528,876.59","248,059.00",244.01,United States,New York Stock Exchange Inc.,USD
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"60,199,887.89",0.36,"60,199,887.89","189,911.00",316.99,United States,New York Stock Exchange Inc.,USD
LIN,LINDE PLC,Materials,Equity,"58,931,597.28",0.35,"58,931,597.28","124,752.00",472.39,United States,NASDAQ,USD
DIS,WALT DISNEY,Communication,Equity,"57,173,035.34",0.34,"57,173,035.34","481,214.00",118.81,United States,New York Stock Exchange Inc.,USD
RTX,RTX CORP,Industrials,Equity,"56,332,034.72",0.34,"56,332,034.72","355,004.00",158.68,United States,New York Stock Exchange Inc.,USD
MRK,MERCK & CO INC,Health Care,Equity,"56,276,854.20",0.34,"56,276,854.20","669,564.00",84.05,United States,New York Stock Exchange Inc.,USD
T,AT&T INC,Communication,Equity,"55,142,266.92",0.33,"55,142,266.92","1,864,174.00",29.58,United States,New York Stock Exchange Inc.,USD
PEP,PEPSICO INC,Consumer Staples,Equity,"53,490,874.84",0.32,"53,490,874.84","364,156.00",146.89,United States,NASDAQ,USD
CAT,CATERPILLAR INC,Industrials,Equity,"51,547,967.18",0.31,"51,547,967.18","122,669.00",420.22,United States,New York Stock Exchange Inc.,USD
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"49,442,191.44",0.3,"49,442,191.44","1,119,108.00",44.18,United States,New York Stock Exchange Inc.,USD
NOW,SERVICENOW INC,Information Technology,Equity,"49,349,813.76",0.3,"49,349,813.76","54,921.00",898.56,United States,New York Stock Exchange Inc.,USD
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,"49,224,936.60",0.29,"49,224,936.60","535,170.00",91.98,United States,New York Stock Exchange Inc.,USD
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"49,137,453.65",0.29,"49,137,453.65","100,385.00",489.49,United States,New York Stock Exchange Inc.,USD
INTU,INTUIT INC,Information Technology,Equity,"48,495,132.14",0.29,"48,495,132.14","72,566.00",668.29,United States,NASDAQ,USD
AXP,AMERICAN EXPRESS,Financials,Equity,"48,285,811.45",0.29,"48,285,811.45","146,033.00",330.65,United States,New York Stock Exchange Inc.,USD
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"48,144,527.34",0.29,"48,144,527.34","8,619.00","5,585.86",United States,NASDAQ,USD
C,CITIGROUP INC,Financials,Equity,"47,643,466.20",0.29,"47,643,466.20","490,765.00",97.08,United States,New York Stock Exchange Inc.,USD
QCOM,QUALCOMM INC,Information Technology,Equity,"46,514,419.53",0.28,"46,514,419.53","291,243.00",159.71,United States,NASDAQ,USD
MS,MORGAN STANLEY,Financials,Equity,"46,025,751.74",0.28,"46,025,751.74","305,758.00",150.53,United States,New York Stock Exchange Inc.,USD
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"45,234,093.51",0.27,"45,234,093.51","241,519.00",187.29,United States,NASDAQ,USD
BLK,BLACKROCK INC,Financials,Equity,"44,812,752.92",0.27,"44,812,752.92","40,417.00","1,108.76",United States,New York Stock Exchange Inc.,USD
BA,BOEING,Industrials,Equity,"44,463,448.25",0.27,"44,463,448.25","192,691.00",230.75,United States,New York Stock Exchange Inc.,USD
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"44,305,665.56",0.27,"44,305,665.56","453,812.00",97.63,United States,New York Stock Exchange Inc.,USD
SPGI,S&P GLOBAL INC,Financials,Equity,"44,107,906.92",0.26,"44,107,906.92","81,642.00",540.26,United States,New York Stock Exchange Inc.,USD
GEV,GE VERNOVA INC,Industrials,Equity,"43,464,623.85",0.26,"43,464,623.85","72,585.00",598.81,United States,New York Stock Exchange Inc.,USD
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"43,115,312.68",0.26,"43,115,312.68","94,859.00",454.52,United States,NASDAQ,USD
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"42,063,580.95",0.25,"42,063,580.95","392,055.00",107.29,United States,New York Stock Exchange Inc.,USD
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"41,947,822.54",0.25,"41,947,822.54","165,841.00",252.94,United States,New York Stock Exchange Inc.,USD
TJX,TJX INC,Consumer Discretionary,Equity,"41,787,892.52",0.25,"41,787,892.52","296,326.00",141.02,United States,New York Stock Exchange Inc.,USD
AMGN,AMGEN INC,Health Care,Equity,"40,061,862.70",0.24,"40,061,862.70","143,027.00",280.1,United States,NASDAQ,USD
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"39,283,618.17",0.24,"39,283,618.17","148,481.00",264.57,United States,New York Stock Exchange Inc.,USD
ADBE,ADOBE INC,Information Technology,Equity,"38,988,975.78",0.23,"38,988,975.78","113,238.00",344.31,United States,NASDAQ,USD
