Ticker,Name,Sector,CapitalExpenditure_2024Q2,CapitalExpenditure_2024Q3,CapitalExpenditure_2024Q4,CapitalExpenditure_2025Q1,CashAndSTInvestments_2024Q2,CashAndSTInvestments_2024Q3,CashAndSTInvestments_2024Q4,CashAndSTInvestments_2025Q1,CashFromOps_2024Q2,CashFromOps_2024Q3,CashFromOps_2024Q4,CashFromOps_2025Q1,CostOfRevenue_2024Q2,CostOfRevenue_2024Q3,CostOfRevenue_2024Q4,CostOfRevenue_2025Q1,CurrentAssets_2024Q2,CurrentAssets_2024Q3,CurrentAssets_2024Q4,CurrentAssets_2025Q1,CurrentLiabilities_2024Q2,CurrentLiabilities_2024Q3,CurrentLiabilities_2024Q4,CurrentLiabilities_2025Q1,EPS_2024Q2,EPS_2024Q3,EPS_2024Q4,EPS_2025Q1,Exchange,IncomeTaxExpense_2024Q2,IncomeTaxExpense_2024Q3,IncomeTaxExpense_2024Q4,IncomeTaxExpense_2025Q1,InterestExpense_2024Q2,InterestExpense_2024Q3,InterestExpense_2024Q4,InterestExpense_2025Q1,Location,LongTermDebt_2024Q2,LongTermDebt_2024Q3,LongTermDebt_2024Q4,LongTermDebt_2025Q1,Market Value,NetIncome_2024Q2,NetIncome_2024Q3,NetIncome_2024Q4,NetIncome_2025Q1,OperatingIncome_2024Q2,OperatingIncome_2024Q3,OperatingIncome_2024Q4,OperatingIncome_2025Q1,OtherOperatingExpense_2024Q2,OtherOperatingExpense_2024Q3,OtherOperatingExpense_2024Q4,OtherOperatingExpense_2025Q1,Revenue_2024Q2,Revenue_2024Q3,Revenue_2024Q4,Revenue_2025Q1,TotalAssets_2024Q2,TotalAssets_2024Q3,TotalAssets_2024Q4,TotalAssets_2025Q1,TotalDebt_2024Q2,TotalDebt_2024Q3,TotalDebt_2024Q4,TotalDebt_2025Q1,TotalEquity_2024Q2,TotalEquity_2024Q3,TotalEquity_2024Q4,TotalEquity_2025Q1,TotalLiabilities_2024Q2,TotalLiabilities_2024Q3,TotalLiabilities_2024Q4,TotalLiabilities_2025Q1,GDP_2024Q1,GDP_2024Q2,GDP_2024Q3,GDP_2024Q4,GDP_2025Q1,GDPReal_2024Q1,GDPReal_2024Q2,GDPReal_2024Q3,GDPReal_2024Q4,GDPReal_2025Q1,Unemployment_2024Q1,Unemployment_2024Q2,Unemployment_2024Q3,Unemployment_2024Q4,Unemployment_2025Q1,InterestRate_2024Q1,InterestRate_2024Q2,InterestRate_2024Q3,InterestRate_2024Q4,InterestRate_2025Q1,IndustrialProd_2024Q1,IndustrialProd_2024Q2,IndustrialProd_2024Q3,IndustrialProd_2024Q4,IndustrialProd_2025Q1,Inflation_2024Q1,Inflation_2024Q2,Inflation_2024Q3,Inflation_2024Q4,Inflation_2025Q1,Market Cap,KPI_GrossProfitMargin_2024Q2,KPI_GrossProfitMargin_2024Q3,KPI_GrossProfitMargin_2024Q4,KPI_GrossProfitMargin_2025Q1,KPI_NetProfitMargin_2024Q2,KPI_NetProfitMargin_2024Q3,KPI_NetProfitMargin_2024Q4,KPI_NetProfitMargin_2025Q1,KPI_CurrentRatio_2024Q2,KPI_CurrentRatio_2024Q3,KPI_CurrentRatio_2024Q4,KPI_CurrentRatio_2025Q1,KPI_Leverage_2024Q2,KPI_Leverage_2024Q3,KPI_Leverage_2024Q4,KPI_Leverage_2025Q1,KPI_DebtToEquityRatio_2024Q2,KPI_DebtToEquityRatio_2024Q3,KPI_DebtToEquityRatio_2024Q4,KPI_DebtToEquityRatio_2025Q1,KPI_TotalAssetTurnover_2024Q3,KPI_TotalAssetTurnover_2024Q4,KPI_TotalAssetTurnover_2025Q1,KPI_ReturnOnEquity_2024Q3,KPI_ReturnOnEquity_2024Q4,KPI_ReturnOnEquity_2025Q1,KPI_ReturnOnAssets_2024Q3,KPI_ReturnOnAssets_2024Q4,KPI_ReturnOnAssets_2025Q1
ACIW,ACI WORLDWIDE INC,Information Technology,-3777000.0,-4045500.0,-4663500.0,-4112000.0,185108000.0,197075000.0,188364000.0,174349000.0,19878000.0,19358500.0,32855000.0,30446500.0,78328000.0,76036000.0,76810500.0,73579000.0,598835000.0,614782000.0,643153500.0,614096500.0,220156000.0,253900000.0,239812000.0,308258500.0,0.11,0.03,0.18,0.08,NASDAQ,2939000.0,2211000.0,3300000.0,1649500.0,3445500.0,4041000.0,4225000.0,3500000.0,1,203825000.0,195738000.0,250079500.0,247164500.0,1358398.6,9702000.0,2272000.0,9918500.0,4622500.0,10363000.0,11719000.0,15111000.0,8489000.0,76453000.0,87902500.0,89408000.0,91924000.0,186745000.0,188841500.0,205053500.0,194418000.0,1235115000.0,1299274000.0,1364754000.0,1390406000.0,163429000.0,232800000.0,291047500.0,275276500.0,615574000.0,591185000.0,652072500.0,652986000.0,520102000.0,611284000.0,653920500.0,667339500.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap,0.5805617285603363,0.5973554541771803,0.6254123923756483,0.6215422440309025,0.05195319821146483,0.012031253723360596,0.048370303359854865,0.023776090691191146,2.7200485110557966,2.421354864119732,2.6819070772104814,1.992147823985389,2.0064443917384427,2.1977452066611973,2.092948253453412,2.129304456757113,0.26549042032314557,0.3937853632957534,0.4463422395515836,0.42156569972403696,0.14902329516108223,0.15394245105531923,0.14113009770757415,0.0037654577260248317,0.01595566485623453,0.007083973630300864,0.0017929370747742355,0.0074462430575054014,0.0033555220023519503
HONE,HARBORONE BANCORP INC,Financials,-220000.0,-569000.0,-339000.0,-208000.0,235062000.0,224279000.0,231071000.0,230492000.0,-39543000.0,24922000.0,3487000.0,23362000.0,42069000.0,41282000.0,44329000.0,40086000.0,248612448.5,295367500.0,283214000.0,284299500.0,176639000.0,203579500.0,212000000.0,151875810.5,0.18,0.1,0.21,0.14,NASDAQ,2214000.0,366000.0,1829000.0,1625000.0,36601000.0,37141000.0,35692000.0,32970000.0,1,619372000.0,539364000.0,304555000.0,399547000.0,220181.0,7296000.0,3924000.0,8887000.0,5500000.0,11125338.5,21880500.0,31365000.0,22755000.0,36601000.0,37141000.0,35692000.0,32970000.0,42069000.0,41282000.0,44329000.0,40086000.0,5787035000.0,5775967000.0,5753133000.0,5700330000.0,619372000.0,539364000.0,516555000.0,399547000.0,577329000.0,584202000.0,575011000.0,575967000.0,5209706000.0,5191765000.0,5178122000.0,5124363000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Micro-Cap,0.0,0.0,0.0,0.0,0.17342936604150325,0.09505353422799283,0.20047824223420335,0.13720500923015516,1.4074606881832439,1.4508705444310455,1.3359150943396227,1.8719208744568312,10.023807915417379,9.88693465616345,10.005257290730091,9.896973264093255,1.0728232948630676,0.9232491501227316,0.8983393361170482,0.6936977292101805,0.007140360262845237,0.007689932431846371,0.00699980433865286,0.006756599694713271,0.015332816315897078,0.009557089709794627,0.0006787164786445596,0.0015416641368363533,0.0009604082188941458
REPL,REPLIMUNE GROUP INC,Health Care,-1618000.0,-1114000.0,-2266000.0,-1503000.0,82785000.0,75247000.0,78303500.0,76060000.0,-1505000.0,949500.0,2360500.0,-15105500.0,17426000.0,16643000.0,25371000.0,26298500.0,294297000.0,290344500.0,291970500.0,279099500.0,79555000.0,85102500.0,88832500.0,80130500.0,-0.33,-0.135,-0.15,-0.1149999999999999,NASDAQ,38000.0,10000.0,-72500.0,36000.0,2963000.0,3200000.0,3472500.0,2981000.0,1,58029500.0,57410000.0,51188500.0,52500000.0,130016.18,-18766000.0,-9458500.0,-14410500.0,-8447500.0,-8702500.0,-8745000.0,-4957000.0,-9623000.0,50552000.0,50312500.0,51507500.0,55195500.0,48425500.0,48950500.0,58118000.0,56777500.0,483166000.0,482068500.0,494468000.0,478516000.0,72569500.0,70526500.0,65660500.0,63077000.0,260347000.0,275896500.0,343838500.0,339340000.0,225280500.0,188235500.0,165936000.0,162196000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Micro-Cap,0.6401482689905112,0.660003472896089,0.5634571045115111,0.5368147593677073,-0.38752310249765104,-0.19322580974658074,-0.24795244158436286,-0.14878252829025582,3.6992897995097733,3.4117035339737374,3.286753159035263,3.483062005104174,1.855853918040154,1.7472802300862824,1.4380821228570972,1.4101373253963576,0.27874144891241304,0.255626657097861,0.19096319929269118,0.18588141686803797,0.1014271661446001,0.11902883302365042,0.11670798286508309,-0.03527688447505657,-0.04650536116243233,-0.02472999369857219,-0.019598346308591332,-0.02951348976715156,-0.017364108762322916
RBRK,RUBRIK INC CLASS A,Information Technology,-15766000.0,-4929000.0,-7527000.0,-8401000.0,429302000.0,142349000.0,103896000.0,186331000.0,161363500.0,-27083000.0,23095000.0,83597000.0,405594000.0,55168000.0,56146000.0,58455000.0,1858384500.0,888990000.0,943691000.0,1077641000.0,1280155500.0,776715000.0,816556000.0,950176000.0,0.551,-0.98,-0.71,-0.61,New York Stock Exchange Inc.,25387500.0,4220000.0,1948000.0,1251000.0,10000000.0,10245000.0,10310000.0,10074000.0,1,1441937500.0,306804000.0,316991000.0,322341000.0,2225806.35,97033000.0,-176930000.0,-130910000.0,-114889000.0,140825000.0,-168293000.0,-124787000.0,-116115000.0,276694000.0,318076000.0,304819000.0,315760000.0,849685500.0,204951000.0,236178000.0,258100000.0,6565516500.0,1218204000.0,1268691000.0,1422974000.0,1882005000.0,316909000.0,326378000.0,332428000.0,2872745500.0,-499294000.0,-521087000.0,-553734000.0,3044033000.0,1717498000.0,1789778000.0,1976708000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Mid-Cap,0.5226539702042697,0.7308234651209313,0.76227252326635,0.7735180162727625,0.11419872411615828,-0.8632795155915316,-0.5542853271684915,-0.44513366912049596,1.4516865333937947,1.1445510901682083,1.1556966086832992,1.134148831374398,2.2854501033941226,-2.4398530725384244,-2.4347009232623344,-2.569778991356861,0.65512416606344,-0.6347142164736608,-0.626340707022052,-0.6003387908273647,0.05266144898188469,0.1899380552858082,0.1917772085307793,-0.1490908914717659,0.25659043043725827,0.2137825740286057,-0.045461550167429574,-0.10527987711584123,-0.08536649248699225
CSL,CARLISLE COMPANIES INC,Industrials,-24900000.0,-19300000.0,-36600000.0,-29000000.0,1736300000.0,1530600000.0,753500000.0,220200000.0,183400000.0,312800000.0,370600000.0,1800000.0,881700000.0,819200000.0,717400000.0,710100000.0,3152100000.0,2911400000.0,1926300000.0,1531600000.0,1089700000.0,1068400000.0,665800000.0,593100000.0,14.84,5.25,3.57,3.2,New York Stock Exchange Inc.,87400000.0,74900000.0,39600000.0,34900000.0,18800000.0,18600000.0,17300000.0,14800000.0,1,1887200000.0,1887200000.0,1887400000.0,1890500000.0,4452387.23,712400000.0,244300000.0,162800000.0,143300000.0,377500000.0,316400000.0,224000000.0,183600000.0,191400000.0,198000000.0,181500000.0,202100000.0,1450600000.0,1333600000.0,1122900000.0,1095800000.0,6728300000.0,6478400000.0,5816600000.0,5450900000.0,2290100000.0,2290200000.0,1991100000.0,1890500000.0,3004300000.0,2762900000.0,2463300000.0,2166500000.0,3724000000.0,3715500000.0,3353300000.0,3284400000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Mid-Cap,0.39218254515372947,0.3857228554289142,0.36111853237153796,0.35198028837379086,0.4911071280849304,0.1831883623275345,0.1449817436993499,0.13077203869319218,2.8926309993576216,2.7250093597903406,2.893211174526885,2.5823638509526217,2.2395566354891323,2.3447826559050275,2.3613039418666015,2.5159935379644587,0.7622740738275139,0.8289116508016938,0.8083059310680794,0.8726055850450034,0.20195809702650927,0.18265961773078487,0.1945063234967828,0.08472048827854071,0.062301480999579044,0.06190332195775195,0.036996373053071546,0.02648230988206588,0.025435988462391836
BMI,BADGER METER INC,Information Technology,-2341000.0,-3132000.0,-4669000.0,-2966000.0,226212000.0,258955000.0,295305000.0,131358000.0,36419000.0,45088000.0,52067000.0,33027000.0,131290000.0,124560000.0,122422000.0,126774000.0,509217000.0,529296000.0,540116000.0,411577000.0,138119000.0,129163000.0,118205000.0,141017000.0,1.12,1.08,1.04,1.3,New York Stock Exchange Inc.,10306000.0,10873000.0,11418000.0,12389000.0,1862000.0,2301000.0,2924000.0,1334000.0,1,203825000.0,195738000.0,250079500.0,247164500.0,1468932.0,33056000.0,32038000.0,30717000.0,38398000.0,41512000.0,40623000.0,39223000.0,49425000.0,43856000.0,43255000.0,43537000.0,46012000.0,216658000.0,208438000.0,205182000.0,222211000.0,781260000.0,802861000.0,816413000.0,899596000.0,163429000.0,232800000.0,291047500.0,275276500.0,563138000.0,591185000.0,606232000.0,641686000.0,218122000.0,211676000.0,210181000.0,257910000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap,0.3940219147227428,0.40241222809660426,0.4033492216666179,0.42948818915355225,0.1525722567364233,0.1537051785183124,0.14970611457145364,0.1727997263861825,3.6867990645747506,4.0978918111223805,4.569316018780931,2.918633923569499,1.3873331226093781,1.358053739523161,1.346700603069452,1.4019255523729675,0.2902112803611193,0.3937853632957534,0.48009260481135935,0.42898941226705894,0.2631591904911304,0.2534246829134538,0.25898582116993557,0.05550959306883775,0.051305434948727136,0.061539299857843226,0.040448930353173776,0.037939224615475824,0.04475267903606566
WNC,WABASH NATIONAL CORP,Industrials,-7493500.0,-6113500.0,-14191500.0,-6122000.0,41173000.0,52459000.0,49019000.0,49137000.0,23974500.0,29478000.0,23793000.0,10678000.0,176674500.0,207941000.0,201772000.0,219534000.0,349660500.0,320644000.0,438841000.0,431312000.0,175891000.0,177697000.0,216013000.0,193074000.0,0.22,0.21,0.25,0.22,New York Stock Exchange Inc.,2620500.0,2734000.0,2060000.0,1792000.0,11077000.0,7968500.0,8347000.0,8885000.0,1,250896000.0,260926000.0,239543000.0,229920000.0,141194.46,8200000.0,8852000.0,6774000.0,4335000.0,15511000.0,17190000.0,14833000.0,10724000.0,35324500.0,35486000.0,38116000.0,36809000.0,232083000.0,249470000.0,260405000.0,287442000.0,1129583500.0,1145339000.0,1255103000.0,1233448000.0,389679500.0,288615000.0,547745000.0,499976000.0,513410500.0,531439000.0,549338000.0,541231000.0,632518500.0,662495000.0,806193000.0,753504000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Micro-Cap,0.23874432853763525,0.16646891409788753,0.22516080720416273,0.2362493998789321,0.035332187191651265,0.03548322443580391,0.026013325396977784,0.015081303358590602,1.987938552853756,1.8044423935125522,2.031549027141885,2.2339206729026175,2.200156599835804,2.155165503472647,2.2847554693103334,2.2789677605310854,0.7590018123898907,0.5430820846795211,0.9971001459939054,0.9237756152179014,0.2193217571148028,0.2169642090914923,0.23101154045064778,0.016944067064203983,0.012535425901920562,0.007949978405767999,0.00778224313135942,0.005643960570594915,0.003483955120871543
GHC,GRAHAM HOLDINGS COMPANY CLASS B,Consumer Discretionary,-16425000.0,-19573500.0,-27742000.0,-19294000.0,220440500.0,251032000.0,214854000.0,196000000.0,48909000.0,54809000.0,73900000.0,38288500.0,438856500.0,461890000.0,448687000.0,461100000.0,1085641926.5,1071510000.0,1037328170.0,1088670603.0,542155000.0,566940000.0,600321000.0,551100000.0,0.61,0.61,0.4768854999999999,0.57,New York Stock Exchange Inc.,11380500.0,12508000.0,10421000.0,12811000.0,11398000.0,14264000.0,14110000.0,13067000.0,1,931857000.0,985000000.0,940724500.0,964000000.0,946576.58,35127000.0,39255000.0,29123000.0,30600000.0,68290000.0,79800000.0,67600000.0,66000000.0,164854500.0,180973000.0,191876000.0,187647000.0,654653000.0,758464000.0,750200000.0,703372000.0,2749553031.0,2935788000.0,3041760000.0,3245011000.0,1368370000.0,1351660000.0,1348420500.0,1378726000.0,926812000.0,1016658000.0,1057000000.0,970255000.0,2083723000.0,2320000000.0,2194000000.0,2363917000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap,0.32963493637087127,0.39101921778752846,0.40191015729138896,0.34444362300461207,0.053657433785532185,0.051755917222175346,0.038820314582777925,0.04350471727620662,2.0024567263974324,1.889988358556461,1.7279558269659065,1.975450195971693,2.9666782810321832,2.8876849441995245,2.8777294228949857,3.3444929425769514,1.476426718687285,1.329512972897474,1.275705298013245,1.4209934501754693,0.2668138976586926,0.2510059308599446,0.2237625642798187,0.04039681600436333,0.02808852761641505,0.030188604788248148,0.01380919800094926,0.009744129198126054,0.009734727095992522
BLKB,BLACKBAUD INC,Information Technology,-21179000.0,-15607000.0,-17083000.0,-13658000.0,30438000.0,34633000.0,67628000.0,37243000.0,53816000.0,103951000.0,73582000.0,1388000.0,124700000.0,127517000.0,137869000.0,114815000.0,1079173000.0,655558000.0,976308000.0,627452000.0,1348976000.0,962205000.0,1252097000.0,863898000.0,0.42,0.4,-6.74,0.1,NASDAQ,7883000.0,12140000.0,-46986000.0,723000.0,15715000.0,14140000.0,15503000.0,16945000.0,1,998071000.0,977019000.0,1051110000.0,1182343000.0,743982.55,21804000.0,20542000.0,-330764000.0,4867000.0,42092000.0,43825000.0,38218000.0,20430000.0,120494000.0,115385000.0,126145000.0,135416000.0,287286000.0,286727000.0,302232000.0,270661000.0,3042748000.0,2600974000.0,2495715000.0,2102219000.0,1063034000.0,1036067000.0,1109171000.0,1208088000.0,577337000.0,544327000.0,141993000.0,33175000.0,2465411000.0,2056647000.0,2353722000.0,2069044000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap,0.5659377762926143,0.5552668566266867,0.5438305672463538,0.5757977691651179,0.07589649338986237,0.07164306116968405,-1.0944042986844544,0.017981903562020386,0.7999942178363441,0.6813080372685655,0.7797383110094506,0.7263033367365129,5.270315257813028,4.778329937702888,17.576324184995034,63.36756593820648,1.8412712159449334,1.903390792666908,7.811448451684238,36.41561416729465,0.10160918627813348,0.11859934949925334,0.11773157248451152,0.03662772452356499,-0.9638769087306213,0.0555695104128608,0.007279593147926138,-0.12979563791316284,0.0021170377826214993
PARR,PAR PACIFIC HOLDINGS INC,Energy,-36890000.0,-28332000.0,-47676000.0,-40933000.0,179658000.0,182977000.0,191921000.0,133747000.0,-4676000.0,78487000.0,-15466000.0,-1399000.0,1802341000.0,1937079000.0,1713184000.0,1595946000.0,1976355000.0,1767183000.0,1772243000.0,1624030000.0,1211053000.0,1045649000.0,1096267000.0,1042434000.0,0.32,0.13,-1.01,-0.57,New York Stock Exchange Inc.,6667000.0,6460000.0,-16192000.0,-6894000.0,20434000.0,23402000.0,21073000.0,21848000.0,1,1054590000.0,1039573000.0,1108082000.0,1148912000.0,548063.04,18638000.0,7486000.0,-55695000.0,-30400000.0,44808000.0,33400000.0,-45878000.0,-23289000.0,170319000.0,173454000.0,164915000.0,172379000.0,2017468000.0,2143933000.0,1832221000.0,1745036000.0,3936947000.0,3853277000.0,3829371000.0,3753255000.0,1430264000.0,1501985000.0,1566923000.0,1631698000.0,1265780000.0,1254026000.0,1191302000.0,1111810000.0,2671167000.0,2599251000.0,2638069000.0,2641445000.0,28708.161,29147.044,29511.664,29825.182,30042.113,23082.119,23286.508,23478.57,23586.542,23548.21,3.8333333333333335,4.0,4.166666666666667,4.133333333333333,4.1000000000000005,5.33,5.33,5.263333333333333,4.65,4.33,102.24276666666668,102.8633,102.71139999999998,102.40293333333334,103.4306,310.97433333333333,313.09566666666666,314.18266666666665,316.53866666666664,319.492,Small-Cap,0.10663217458715578,0.09648342555480978,0.06496869100397823,0.08543663282591304,0.009238312577944234,0.003491713593661742,-0.030397533921945004,-0.017420844039893732,1.6319310550405308,1.6900346100842634,1.6166162075479786,1.5579211729471603,3.1102932579121174,3.072724967424918,3.2144418459802804,3.375806117951808,1.1299467522002244,1.197730350088435,1.3153029206699896,1.46760507640694,0.5504162653089307,0.4769764279191237,0.46027220648888656,0.005941727259955727,-0.04555217132425589,-0.026399063527956956,0.0019218959557517215,-0.01449890714763972,-0.008018330325140656
