Ticker,CapitalExpenditure_2025Q2,CashAndSTInvestments_2025Q2,CashFromOps_2025Q2,CostOfRevenue_2025Q2,CurrentAssets_2025Q2,CurrentLiabilities_2025Q2,EPS_2025Q2,IncomeTaxExpense_2025Q2,InterestExpense_2025Q2,LongTermDebt_2025Q2,NetIncome_2025Q2,OperatingIncome_2025Q2,OtherOperatingExpense_2025Q2,Revenue_2025Q2,TotalAssets_2025Q2,TotalDebt_2025Q2,TotalEquity_2025Q2,TotalLiabilities_2025Q2
ACIW,,,,,,,,,,,,,,,,,,
HONE,-139000.0,203053000.0,-4987000.0,44301000.0,,,0.2,2569000.0,32385000.0,439652000.0,8058000.0,,32385000.0,44301000.0,5609075000.0,439652000.0,580147000.0,5028928000.0
REPL,,,,,,,,,,,,,,,,,,
RBRK,-6315000.0,283998000.0,39655000.0,60483000.0,1116895000.0,961289000.0,-0.53,1274000.0,9813000.0,322821000.0,-102104000.0,-93091000.0,311089000.0,278481000.0,1474606000.0,334571000.0,-556530000.0,2031136000.0
BRCC,,,,,,,,,,,,,,,,,,
CSL,-28800000.0,68400000.0,287100000.0,908400000.0,1526900000.0,697100000.0,5.88,68100000.0,14700000.0,1891500000.0,255800000.0,335000000.0,206100000.0,1449500000.0,5519400000.0,1891500000.0,2120600000.0,3398800000.0
BMI,-3938000.0,165208000.0,44586000.0,140285000.0,448275000.0,138710000.0,1.17,11202000.0,895000.0,,34584000.0,44863000.0,52947000.0,238095000.0,936420000.0,,677592000.0,258828000.0
WNC,,,,,,,,,,,,,,,,,,
GNE,,,,,,,,,,,,,,,,,,
GHC,,,,,,,,,,,,,,,,,,
FATE,,,,,,,,,,,,,,,,,,
BLKB,-15440000.0,41566000.0,66941000.0,113633000.0,1153969000.0,1380057000.0,0.54,13413000.0,18411000.0,1136112000.0,25980000.0,56686000.0,111063000.0,281382000.0,2629393000.0,1165647000.0,87950000.0,2541443000.0
PARR,-48126000.0,169195000.0,133578000.0,1628191000.0,1720084000.0,1207651000.0,1.17,16887000.0,22106000.0,1107743000.0,59460000.0,88229000.0,177018000.0,1893438000.0,3895542000.0,1576631000.0,1148415000.0,2747127000.0
CLW,,,,,,,,,,,,,,,,,,
GLIBA,,,,,,,,,,,,,,,,,,
CNH,-252000000.0,2512000000.0,772000000.0,3192000000.0,32214000000.0,4123000000.0,0.17,76000000.0,360000000.0,27408000000.0,213000000.0,823000000.0,696000000.0,4711000000.0,43687000000.0,27694000000.0,7834000000.0,35853000000.0
XEL,-2427000000.0,1454000000.0,1081000000.0,1728000000.0,5667000000.0,5886000000.0,0.75,172000000.0,322000000.0,31099000000.0,444000000.0,577000000.0,982000000.0,3287000000.0,75337000000.0,33326000000.0,20961000000.0,54376000000.0
ANIK,,,,,,,,,,,,,,,,,,
NSA,-6338000.0,26121000.0,79876000.0,55627000.0,66573000.0,513120000.0,0.19,120000.0,41269000.0,3003759000.0,19471000.0,68299000.0,64916000.0,188842000.0,5181285000.0,3425342000.0,1637682000.0,3543603000.0
AIZ,-59900000.0,1486700000.0,265500000.0,3158400000.0,,174600000.0,4.56,53700000.0,26700000.0,1909800000.0,235300000.0,,2869400000.0,3158400000.0,35525900000.0,2084400000.0,5498500000.0,30027400000.0
ALMS,,,,,,,,,,,,,,,,,,
DKS,-264725000.0,1035889000.0,178046000.0,2009591000.0,5030826000.0,3112419000.0,3.24,83434000.0,12138000.0,1484462000.0,264288000.0,379558000.0,785528000.0,3174677000.0,10434582000.0,4568188000.0,3052394000.0,7382188000.0
PEG,-787000000.0,186000000.0,478000000.0,1680000000.0,4588000000.0,4582000000.0,1.17,141000000.0,248000000.0,21639000000.0,585000000.0,817000000.0,308000000.0,2805000000.0,56024000000.0,23433000000.0,16671000000.0,39353000000.0
CI,-285000000.0,4329000000.0,-1886000000.0,61017000000.0,44723000000.0,56779000000.0,5.71,389000000.0,337000000.0,26480000000.0,1532000000.0,2070000000.0,3855000000.0,66942000000.0,151651000000.0,30768000000.0,40430000000.0,111221000000.0
FG,-4000000.0,1884000000.0,1620000000.0,1304000000.0,,,0.26,15000000.0,41000000.0,2235000000.0,40000000.0,,38000000.0,1304000000.0,91816000000.0,2244000000.0,4557000000.0,87259000000.0
STRA,-10833000.0,133600000.0,31208000.0,166153000.0,319943000.0,254480000.0,1.37,13114000.0,32331000.0,,32331000.0,48543000.0,106775000.0,321471000.0,2091523000.0,120302000.0,1666717000.0,424806000.0
MP,-29006000.0,261535000.0,-3655000.0,71208000.0,960395000.0,266867000.0,-0.19,-11852000.0,5414000.0,843369000.0,-30872000.0,-43121000.0,29306000.0,57393000.0,2336187000.0,916819000.0,1010550000.0,1325637000.0
ONEW,,,,,,,,,,,,,,,,,,
ADCT,,264560000.0,-24087000.0,836000.0,318755000.0,64600000.0,-0.5,-481000.0,12997000.0,114473000.0,-56646000.0,-30575000.0,48578000.0,18839000.0,321561000.0,117523000.0,-199184000.0,520745000.0
FELE,,,,,,,,,,,,,,,,,,
PFE,-618000000.0,1638000000.0,-582000000.0,3778000000.0,43703000000.0,37726000000.0,0.51,141000000.0,654000000.0,56630000000.0,2910000000.0,3765000000.0,7110000000.0,14653000000.0,206095000000.0,60926000000.0,89012000000.0,117083000000.0
APPN,-1146000.0,112207000.0,-1940000.0,43921000.0,411681000.0,347361000.0,0.0,1573000.0,5319000.0,236027000.0,-312000.0,-10984000.0,137703000.0,170640000.0,590748000.0,308487000.0,-53741000.0,644489000.0
WSR,,5324000.0,13836000.0,11140000.0,87125000.0,42006000.0,0.1,94000.0,8291000.0,670345000.0,5054000.0,13719000.0,13438000.0,38297000.0,1155534000.0,671105000.0,433007000.0,722527000.0
HLNE,-1344000.0,315880000.0,128932000.0,53515000.0,510886000.0,318420000.0,1.28,18379000.0,3856000.0,288582000.0,53745000.0,76975000.0,45468000.0,175958000.0,1802038000.0,365492000.0,995046000.0,806992000.0
